slug,title,audience,legacy_source,hero_description,image,characteristics_json,benefits_json,requirements_json,faqs_json,related_resources_json,compliance_status
"cuenta-corriente-personas","Cuenta Corriente","Personas","cuenta-corriente-personas.html","Simplifica tu día a día con nuestra Cuenta Corriente, diseñada para ofrecer máxima flexibilidad y control sobre tus finanzas personales.","cuenta-corriente.webp","[[""Acceso inmediato a los fondos"",""Retira efectivo, paga servicios y recibe depósitos sin restricciones de tiempo.""],[""Facilidad para realizar pagos"",""Gestiona pagos con comodidad y flexibilidad en cualquier momento.""],[""Seguridad del dinero"",""Resguarda tus fondos con el respaldo de FOGADE.""]]","[[""Apertura 100% Digital"",""Abre tu cuenta desde cualquier lugar, sin monto de apertura.""],[""Operaciones 24/7"",""Accede a nuestros canales digitales en cualquier momento del día.""],[""Pagos en todas partes"",""Realiza transacciones en puntos de venta nacionales.""],[""Respaldo garantizado"",""Fondos protegidos por el Fondo de Garantía de Depósitos y Protección Bancaria.""]]","[""Copia de la cédula de identidad del cliente vigente o vencida, legible."",""Copia del Registro único de Información Fiscal (R.I.F.).""]","[""¿Cómo abro una Cuenta Corriente personal?"",""¿Qué documentos necesito para abrirla?"",""¿Tiene monto mínimo de apertura?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"cuenta-corriente-empresas","Cuenta Corriente","Empresas","cuenta-corriente-empresas.html","Una cuenta diseñada para la gestión eficiente de los recursos de tu empresa. Flexibilidad, seguridad y control total en tus transacciones.","cuenta-corriente.webp","[[""Control de tu dinero"",""Autogestión en todo momento y en cualquier lugar.""],[""Movilización ágil"",""Flexibilidad para transferencias internas y externas.""],[""Seguridad financiera"",""Respaldo garantizado por FOGADE para proteger tus fondos.""]]","[[""Sin monto de apertura"",""Facilita el acceso al servicio desde el primer momento.""],[""Disponibilidad 24/7"",""Realiza operaciones bancarias en cualquier momento desde nuestra banca en línea.""],[""Control integral"",""Consulta movimientos y gestiona fondos con herramientas digitales.""],[""Soporte especializado"",""Asistencia personalizada para las necesidades de tu empresa.""]]","[""Ficha de identificación del cliente persona jurídica."",""Copia del Registro Mercantil y sus posteriores modificaciones."",""Copia del RIF legible y vigente de la empresa."",""Copia de la última declaración de I.S.L.R. de la empresa."",""Representantes legales: ficha de identificación de persona natural, copia de cédula y RIF vigentes.""]","[""¿Cómo abro una Cuenta Corriente empresarial en N58?"",""¿Cuáles son los costos asociados a la cuenta?"",""¿Qué documentos necesito para personas jurídicas?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"cuenta-moneda-extranjera-personas","Cuenta en Moneda Extranjera","Personas","cuenta-en-moneda-extranjera-personas.html","Gestión eficiente y segura de tus fondos en moneda extranjera, con acceso a las mejores herramientas digitales.","cuenta-moneda-extranjera.webp","[[""Operaciones de cambio"",""Administra tus fondos en moneda extranjera según tus necesidades.""],[""Moviliza tus divisas"",""Potencia tus finanzas con operaciones en moneda extranjera.""],[""Cumplimiento regulatorio"",""Todas las operaciones se ajustan a las normativas legales vigentes.""]]","[[""Compra y venta de divisas"",""Realiza transacciones de forma segura.""],[""Gestión ágil"",""Accede fácilmente a tus movimientos y estados de cuenta.""],[""Seguridad avanzada"",""Tus operaciones están protegidas con tecnología de última generación.""],[""Acceso sencillo"",""Controla tu cuenta desde nuestras plataformas digitales.""]]","[""Copia de la cédula de identidad del cliente vigente o vencida, legible."",""Copia del Registro único de Información Fiscal (R.I.F.) cuando corresponda.""]","[""¿Cómo abro una Cuenta en Moneda Extranjera personal?"",""¿Qué documentos necesito?"",""¿Cuáles son mis límites de operación?""]","[[""Tasa oficial BCV"",""index.html#tasas"",""Consulta el tipo de cambio oficial aplicado a las operaciones.""],[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"cuenta-moneda-extranjera-empresas","Cuenta en Moneda Extranjera","Empresas","cuenta-en-moneda-extranjera-empresas.html","La cuenta ideal para manejar tus fondos en divisas, cumpliendo con la normativa cambiaria del país.","cuenta-moneda-extranjera.webp","[[""Operaciones de cambio"",""Administra tus fondos en moneda extranjera según tus necesidades.""],[""Cumplimiento regulatorio"",""Adaptada a las normativas cambiarias vigentes.""],[""Moviliza tus divisas"",""Potencia tu negocio con operaciones en moneda extranjera.""]]","[[""Operaciones de cambio"",""Compra y vende divisas con total confianza.""],[""Gestión en línea"",""Acceso a estados de cuenta y movimientos a través de nuestra banca en línea.""],[""Facilidad operativa"",""Optimiza tus procesos, reduce los tiempos de gestión y opera con eficiencia.""],[""Seguridad financiera"",""Resguardo garantizado y cumplimiento legal.""]]","[""Ficha de Identificación del cliente persona jurídica."",""Copia del Registro Mercantil y sus posteriores modificaciones."",""Copia del RIF legible y vigente de la empresa."",""Copia de la última declaración de I.S.L.R."",""Para OSFL/ONG constituidas en el exterior: copia de inscripción en REGONG."",""Representantes Legales: Ficha PN + cédula vigente + RIF vigente.""]","[""¿Cómo abro una Cuenta en Moneda Extranjera empresarial?"",""¿Qué divisas puedo operar?"",""¿Cuáles son los límites de operación?""]","[[""Tasa oficial BCV"",""index.html#tasas"",""Consulta el tipo de cambio oficial aplicado a las operaciones.""],[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"pago-movil-personas","Pago Móvil","Personas","pago-movil-personas.html","Realiza tus transacciones al instante, de manera fácil y segura, desde cualquier lugar, con Pago Móvil N58.","pago-movil.webp","[[""Rapidez"",""Transfiere dinero al instante, sin importar la hora o el día.""],[""Comodidad"",""Envía y recibe pagos directamente desde tu teléfono móvil.""],[""Seguridad avanzada"",""Transacciones protegidas con tecnología de última generación.""]]","[[""Operaciones inmediatas"",""Olvídate de esperas, tus transacciones son instantáneas.""],[""Fácil acceso"",""Disponible en la app y banca en línea.""],[""Notificaciones automáticas"",""Mantente informado de cada operación.""]]","[""Tener una cuenta corriente activa en N58."",""Afiliarte al servicio.""]","[""¿Cómo me afilio al Pago Móvil N58?"",""¿Puedo enviar a cualquier banco?"",""¿Cuánto es el límite diario?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"pago-movil-empresas","Pago Móvil","Empresas","pago-movil.html","Facilita las transacciones de tu empresa con el servicio de Pago móvil de N58, diseñado para realizar pagos instantáneos y seguros desde cualquier lugar.","pago-movil.webp","[[""Rapidez"",""Realiza pagos al instante, sin necesidad de efectivo o tarjetas.""],[""Simplicidad"",""Solo necesitas los datos básicos del destinatario.""],[""Acceso continuo"",""Disponible las 24 horas, los 7 días de la semana.""]]","[[""Comodidad"",""Gestiona pagos desde nuestra banca en línea.""],[""Seguridad"",""Protege cada transacción con tecnología avanzada.""],[""Notificaciones automáticas"",""Recibe alertas por cada operación realizada.""],[""Al instante y sin complicaciones"",""Realiza tus pagos en línea de manera rápida, segura y totalmente digital.""]]","[""Tener una cuenta corriente activa en N58."",""Afiliarte al servicio.""]","[""¿Cómo afilio mi empresa al Pago Móvil?"",""¿Puedo hacer cobros masivos por Pago Móvil?"",""¿Cuáles son los límites por transacción?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"pago-de-servicios-personas","Pago de servicios","Personas","pago-de-servicios-personas.html","Gestiona tus pagos de servicios de manera rápida, cómoda y desde un solo lugar con N58.","pago-servicios.webp","[[""Versatilidad"",""Paga facturas de telefonía, internet, televisión por suscripción, y más.""],[""Gestión centralizada"",""Unifica todos tus pagos en un solo espacio.""],[""Acceso 24/7"",""Realiza tus operaciones cuando lo necesites, sin restricciones de horario.""]]","[[""Ahorro de tiempo"",""Paga tus facturas en poco tiempo desde tu banca en línea.""],[""Facilidad de uso"",""Interfaz intuitiva y amigable.""],[""Seguridad garantizada"",""Protección avanzada para cada transacción.""],[""Disponibilidad continua"",""Servicio activo los 365 días del año.""]]","[""Contar con una cuenta corriente activa en N58.""]","[""¿Qué servicios puedo pagar?"",""¿Hay costo adicional por pago de servicios?"",""¿Puedo programar pagos automáticos?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"pago-de-servicios-empresas","Pago de Servicios","Empresas","pago-de-servicios.html","Simplifica los pagos de facturas y servicios operativos con una plataforma que combina rapidez, comodidad y seguridad.","pago-servicios.webp","[[""Variedad de servicios"",""Pago de proveedores y servicios básicos.""],[""Interfaz amigable"",""Opera desde la banca en línea.""],[""Historial completo"",""Consulta y organiza tus transacciones fácilmente.""]]","[[""Rapidez"",""Procesa facturas de forma inmediata.""],[""Organización"",""Gestiona tus pagos en un solo lugar.""],[""Disponibilidad"",""Accede al servicio 24/7 desde cualquier lugar.""],[""Seguridad"",""Protege todas las transacciones con tecnología avanzada.""]]","[""Contar con una cuenta corriente empresarial activa en N58.""]","[""¿Qué servicios puedo pagar desde N58 Empresas?"",""¿Puedo programar pagos recurrentes?"",""¿Cómo descargo mis comprobantes?""]","[[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"intervencion-cambiaria-personas","Intervención","Personas","intervencion-personas.html","Adquiere divisas asignadas por el Banco Central de Venezuela (BCV), sujeto a disponibilidad.","intervencion.webp","[[""Asignación a tasa oficial"",""Compra de divisas según la disponibilidad establecida por el Banco Central de Venezuela.""],[""Impacto Positivo"",""Influye de manera favorable en las expectativas económicas, la inversión y la estabilidad de precios.""],[""Tarifas oficiales"",""Tipo de cambio y comisiones establecidas por el Banco Central de Venezuela.""]]","[[""Seguridad Financiera"",""Compra divisas de manera segura y regulada.""],[""Gestión en línea"",""Procesos rápidos con acreditación en tu cuenta de moneda extranjera.""],[""Horario programado"",""Atención de lunes a viernes de 9:00 am a 12:00 m.""]]","[""Tener una cuenta activa en bolívares con saldo disponible."",""Disponer de una cuenta en moneda extranjera en N58.""]","[""¿Qué es la Intervención del BCV para personas?"",""¿Cuándo está disponible el servicio?"",""¿Cuánto puedo comprar por operación?""]","[[""Tasa oficial BCV"",""index.html#tasas"",""Consulta el tipo de cambio oficial aplicado a las operaciones.""],[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
"intervencion-cambiaria-empresas","Intervención","Empresas","intervencion.html","Adquiere divisas asignadas por el Banco Central de Venezuela, sujeto a disponibilidad.","intervencion.webp","[[""Asignación a tasa oficial"",""Compra de divisas según la disponibilidad establecida por el Banco Central de Venezuela.""],[""Impacto positivo"",""Influye de manera favorable en las expectativas económicas, la inversión y la estabilidad de precios.""],[""Tarifas oficiales"",""Tipo de cambio y comisiones establecidas por el Banco Central de Venezuela.""]]","[[""Seguridad financiera"",""Compra divisas de manera segura y regulada.""],[""Gestión en línea"",""Procesos rápidos con acreditación en tu cuenta de moneda extranjera.""],[""Horario programado"",""Atención de lunes a viernes de 9:00 am a 12:00 m.""]]","[""Tener una cuenta activa en bolívares y en dólares, con saldo disponible en N58.""]","[""¿Qué es el servicio de Intervención del BCV?"",""¿Cuándo opera la mesa de cambio?"",""¿Puedo vender divisas BCV también?""]","[[""Tasa oficial BCV"",""index.html#tasas"",""Consulta el tipo de cambio oficial aplicado a las operaciones.""],[""Límites diarios"",""limites-diarios.html"",""Revisa los montos máximos vigentes para cada tipo de operación.""],[""Tarifas y comisiones"",""documentos-legales.html"",""Consulta costos, cargos y condiciones antes de operar.""],[""Seguridad y prevención"",""documentos-legales.html"",""Conoce cómo proteger tu cuenta, tus datos y cada transacción.""]]","pending-review"
